unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e053_setSentientComputeOutputProgIROperands	053/130	1	112	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:1310	1835-1946	src/bridges/sentient_to_progir/construct/compute.rs	hasCommonField,setCommonField
e054_ConstructL3LoadInstr	054/130	1	95	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:2576	1949-2043	src/bridges/sentient_to_progir/construct/transfer.rs	addToRegsToInit,normalizeBurstSize,setCommonField
e055_ConstructL3StoreInstr	055/130	1	150	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:2672	2046-2195	src/bridges/sentient_to_progir/construct/transfer.rs	addToRegsToInit,normalizeBurstSize,setCommonField
e056_ConstructZRAssignInstr	056/130	1	14	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:2828	2198-2211	src/bridges/sentient_to_progir/construct/transfer.rs	setCommonField
e057_ConstructL3LoadAndStoreInstr	057/130	1	179	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:2843	2214-2392	src/bridges/sentient_to_progir/construct/transfer.rs	addToRegsToInit,normalizeBurstSize,setCommonField
e058_ConstructLoadComputeInstr	058/130	1	99	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3287	2395-2493	src/bridges/sentient_to_progir/construct/transfer.rs	GetAddressScale,addToRegsToInit,getProperConsumer,setCommonField
e059_ConstructLRFCopyInstr	059/130	1	49	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3509	2496-2544	src/bridges/sentient_to_progir/construct/transfer.rs	addToRegsToInit,setCommonField
e060_ConstructSetDstMaskInstr	060/130	1	41	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3559	2547-2587	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
e061_ConstructSetDestInstr	061/130	1	54	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3601	2590-2643	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
e062_ConstructImmCopyInstrFromSplatOp	062/130	1	60	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3657	2646-2705	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
e063_ConstructOpaqueInstr	063/130	1	167	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:3866	2708-2874	src/bridges/sentient_to_progir/construct/opaque.rs	GetOpCodePrefix,rtrim
e064_ConstructSAMVInstr	064/130	1	33	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4034	2877-2909	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
