unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e528_buildBlock	528/656	3	486	179	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:644	22451-22631	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_merging.rs	e158_doesValueExceedLRFRange,e162_addOpToBlock,e163_setEnablesMerging,e164_addUnrollCandidate,e252_size,e361_isImmutableValueInRange,e362_isFieldUnrollCandidate,e422_insert
e529_processForOpResult	529/656	3	495	13	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:1484	22640-22656	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e171_isMergeableOpOrChain,e468_processMergeableChain
e530_processForDerivedIVElimination	530/656	3	501	38	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:1843	22665-22704	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e171_isMergeableOpOrChain,e365_applyOperationData,e468_processMergeableChain
e531_findAndProcessCandidates	531/656	3	519	165	dcc/src/Transform/Sentient/ScalarOpReordering.cpp:207	22713-22879	crates/compiler/deeptools/src/transform/sentient/scalar_op_reordering/mod.rs	e177_getLiverangeEndPt,e368_getFirstUseWithinBlock,e370_localeHasFreeRegs,e422_insert,e470_isCandidateForReordering
e532_simplifyBinaryOperation	532/656	3	525	89	dcc/src/Transform/Sentient/ScalarSimplifications.cpp:315	22888-22980	crates/compiler/deeptools/src/transform/sentient/scalar_simplifications/mod.rs	e240_selectIndicesForUnits,e252_size,e372_areAllExprsValidToTransform,e392_getQueryKeyAndUnitsFromParentRegion,e472_createNewOpOrMap
e533_simplifyLoadStoreOperation	533/656	3	526	93	dcc/src/Transform/Sentient/ScalarSimplifications.cpp:408	22989-23084	crates/compiler/deeptools/src/transform/sentient/scalar_simplifications/mod.rs	e240_selectIndicesForUnits,e252_size,e372_areAllExprsValidToTransform,e392_getQueryKeyAndUnitsFromParentRegion,e472_createNewOpOrMap
e534_lightWeightSimplifyBinaryArithmetic	534/656	3	199	183	dcc/src/Transform/Sentient/ScalarSimplifications.cpp:504	23093-23278	crates/compiler/deeptools/src/transform/sentient/scalar_simplifications/sentient.rs	e240_selectIndicesForUnits,e252_size,e392_getQueryKeyAndUnitsFromParentRegion,e472_createNewOpOrMap
e535_runOn	535/656	3	529	4	dcc/src/Transform/Sentient/SetActiveMaskValueRE.cpp:73	23287-23291	crates/compiler/deeptools/src/transform/sentient/set_active_mask_value_re/mod.rs	e473_runOn
e536_runOnOperation	536/656	3	538	6	dcc/src/Transform/Sentient/SetMaskRE.cpp:144	23300-23306	crates/compiler/deeptools/src/transform/sentient/set_mask_re/mod.rs	e474_runOn
e537_runOn	537/656	3	556	4	dcc/src/Transform/Sentient/SetSendDestinationRE.cpp:164	23315-23319	crates/compiler/deeptools/src/transform/sentient/set_send_destination_re/mod.rs	e475_runOn
e538_runOn	538/656	3	577	7	dcc/src/Transform/Sentient/SinkScalarCopy.cpp:176	23328-23335	crates/compiler/deeptools/src/transform/sentient/sink_scalar_copy/mod.rs	e214_sinkCopyOps,e215_clear,e477_runOn,e539_runOn
e539_runOn	539/656	3	577	4	dcc/src/Transform/Sentient/SinkScalarCopy.cpp:184	23344-23348	crates/compiler/deeptools/src/transform/sentient/sink_scalar_copy/mod.rs	e477_runOn,e538_runOn
e540_runOnOperation	540/656	3	582	8	dcc/src/Transform/Sentient/SmartRegisterAllocation.cpp:626	23357-23365	crates/compiler/deeptools/src/transform/sentient/smart_register_allocation/mod.rs	e478_doRegisterAllocation
e541_runOnOperation	541/656	3	599	24	dcc/src/Transform/Sentient/StoreAndForwardFusion.cpp:555	23374-23398	crates/compiler/deeptools/src/transform/sentient/store_and_forward_fusion/mod.rs	e480_FuseStoreAndForward
e542_runOnOperation	542/656	3	609	5	dcc/src/Transform/Sentient/ToggleReordering.cpp:149	23407-23412	crates/compiler/deeptools/src/transform/sentient/toggle_reordering/mod.rs	e390_runOn,e481_runOn
e543_computeDependencies	543/656	3	616	13	dcc/src/Transform/Sentient/TransformForExposedPipeline.cpp:287	23421-23436	crates/compiler/deeptools/src/transform/sentient/transform_for_exposed_pipeline/mod.rs	e482_computeDependenciesSameBlock,e483_computeDependenciesAcrossBlocks
e544_runOn	544/656	3	621	7	dcc/src/Transform/Sentient/UniformMapCanonicalization.cpp:75	23445-23452	crates/compiler/deeptools/src/transform/sentient/uniform_map_canonicalization/mod.rs	e484_runOn,e545_runOn
e545_runOn	545/656	3	621	8	dcc/src/Transform/Sentient/UniformMapCanonicalization.cpp:96	23461-23469	crates/compiler/deeptools/src/transform/sentient/uniform_map_canonicalization/mod.rs	e238_cleanupConstants,e484_runOn,e544_runOn
e546_findAndReplaceRedundantIterArgsUsedInConditions	546/656	3	201	138	dcc/src/Transform/Sentient/Utils.cpp:257	23478-23617	crates/compiler/deeptools/src/transform/sentient/utils/mod.rs	e422_insert
e547_getMin	547/656	4	9	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:235	23626-23630	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e278_isValid,e485_getX
e548_getMax	548/656	4	10	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:240	23639-23643	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e278_isValid,e485_getX
e549_runOn	549/656	4	47	12	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1187	23652-23664	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e489_cleanup
e550_updateVariableOffsetCalculation	550/656	4	85	17	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1990	23673-23691	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/toggle_data_transfer_updater.rs	e009_createOffsetValue,e263_getToggleDescriptor,e264_getToggleDescriptor,e402_getIterArgIndex,e485_getX
e551_updateConstantMutableAddr	551/656	4	79	29	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2009	23700-23730	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/toggle_data_transfer_updater.rs	e009_createOffsetValue,e263_getToggleDescriptor,e264_getToggleDescriptor,e402_getIterArgIndex,e485_getX
e552_ToggleDescriptor	552/656	4	50	68	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2642	23739-23809	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/toggle_descriptor.rs	e001_invalidate,e003_invalidate,e004_invalidate,e005_invalidate,e017_getOutermostConstInitialization,e485_getX
e553_dump	553/656	4	73	16	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2724	23818-23834	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/toggle_descriptor.rs	e278_isValid,e279_canBeSimplified,e401_getC1,e485_getX
e554_runOnOperation	554/656	4	103	100	dcc/src/Transform/Sentient/AddressRegisterPrecisionAssignment.cpp:449	23843-23943	crates/compiler/deeptools/src/transform/sentient/address_register_precision_assignment/mod.rs	e019_initializePrecision,e252_size,e428_addToWorkListAndAssignPrecision,e494_processAddressSSAValue
