unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e163_getMaskValueConstantForNonPT	163/384	1	40	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.cpp:93	2860-2901	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e026_has
e164_checkValidityOfPackAndShuffleLowering	164/384	1	45	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.cpp:140	2903-2949	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e064_size
e165_getMergeTypeFromIndices	165/384	1	109	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.cpp:301	2951-3061	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e064_size
e166_getOperandFromConstantOp	166/384	1	26	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:267	3063-3090	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	e073_constValToField
e167_getOperandFromConstantBitstreamOp	167/384	1	5	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:299	3092-3098	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	e073_constValToField
e168_getOperandFromNegOp	168/384	1	5	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:366	3100-3106	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	-
e169_getName	169/384	1	11	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:866	3108-3120	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	-
e170_getLayoutMapAndIndices	170/384	1	40	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:879	3122-3163	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	-
e171_isMaskEquivalentToNode	171/384	1	4	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Analysis/LoopMaskTree.cpp:123	3165-3170	src/bridges/dataflow_ir_to_sentient/vc_loop_mask_tree.rs	e081_getParentNode,e086_MaskNode,e102_getParentNode
e172_areXrfAccessesLegal	172/384	1	28	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:98	3172-3201	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	e064_size
e173_insertConstAndAddOps	173/384	1	10	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:296	3203-3214	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e174_isXrfRelated	174/384	1	31	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:531	3216-3248	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e175_updateYieldArgs	175/384	1	8	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:690	3250-3259	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e176_opHasSideEffect	176/384	1	13	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:38	3261-3275	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e177_mergeShallow	177/384	1	60	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:398	3277-3338	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	e052_If,e096_createDummyYieldInElseReg,e097_getNewDbgNameFromList
e178_runOnOperation	178/384	1	42	dcc/src/Transform/Dataflow/CanonicalizeToggle.cpp:49	3340-3383	src/bridges/dataflow_ir_to_sentient/tf_canonicalize_toggle.rs	e001_matchAndRewrite
e179_clear	179/384	1	15	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:112	3385-3401	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	e079_OperationNode,e088_getRoot,e101_OperationNode,e107_getRoot
e180_traverseRegion	180/384	1	17	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:129	3403-3421	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
